subject,loop,start_time,end_time,EXG0_cca_dummy,EXG1_cca_dummy,label
sultan,1,36.0,36.996,0.47219580261041283,0.3878134347442139,kiri
sultan,1,37.0,37.996,0.44398971252755215,0.2498097621637264,kiri
sultan,1,38.0,38.996,0.7065317059090223,0.8920816853328734,kiri
sultan,1,39.0,39.996,0.11526097208173414,0.15489517797301833,kiri
sultan,1,40.0,40.996,0.8736049799845587,0.4822161773723671,kiri
sultan,1,41.0,41.996,0.3297441376378556,0.7194000606537018,kiri
sultan,1,42.0,42.996,0.5127043417209332,0.029843195384432142,kiri
sultan,1,43.0,108.992,0.05129085923809451,0.1855986692909013,kiri
sultan,2,108.996,109.992,0.8833125200192972,0.3625738081935911,kiri
sultan,2,109.996,110.992,0.6103927267554434,0.3504630454863963,kiri
sultan,2,110.996,111.992,0.8094575935484846,0.7190168911996668,kiri
sultan,2,111.996,112.992,0.6894391158905852,0.8582409454820824,kiri
sultan,2,112.996,113.992,0.9261925558610473,0.5000698878333247,kiri
sultan,2,113.996,114.992,0.5835982849208672,0.7672362040584138,kiri
sultan,2,114.996,180.988,0.96872282595854,0.8695038451025874,kiri
sultan,3,180.992,181.988,0.16276430025868016,0.2834025948662009,kiri
sultan,3,181.992,182.988,0.3429838174396411,0.9297336105531833,kiri
sultan,3,182.992,183.988,0.5773012521677333,0.30461345550277685,kiri
sultan,3,183.992,184.988,0.2616622484337624,0.6784144789939996,kiri
sultan,3,184.992,185.988,0.4777728337442243,0.2910358713533838,kiri
sultan,3,185.992,186.988,0.06534219298555322,0.8593560218818838,kiri
sultan,3,186.992,252.984,0.5255979915249985,0.1102823351481731,kiri
sultan,4,252.988,253.984,0.06288246177105183,0.4214236833292203,kiri
sultan,4,253.988,254.984,0.8128457473524876,0.03633951381609579,kiri
sultan,4,254.988,255.984,0.2731488965820593,0.24247317248823186,kiri
sultan,4,255.988,256.984,0.9601886939227159,0.8527380599837087,kiri
sultan,4,256.988,257.984,0.7621306096191178,0.20851672877354266,kiri
sultan,4,257.988,258.984,0.5842826074355143,0.19780303367137753,kiri
sultan,4,258.988,324.98,0.8573800567333131,0.8879786889185265,kiri
sultan,5,324.984,325.98,0.4532048323877037,0.7071313943600995,kiri
sultan,5,325.984,326.98,0.8437086645978077,0.8397388619219467,kiri
sultan,5,326.984,327.98,0.2656558789350877,0.22214128048023452,kiri
sultan,5,327.984,328.98,0.46915112608775345,0.5893517687277358,kiri
sultan,5,328.984,329.98,0.965179858398446,0.2506170506508336,kiri
sultan,5,329.984,330.98,0.6792114108518567,0.9369024082818816,kiri
