channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16,channel_17,channel_18,channel_19,channel_20,channel_21,channel_22,channel_23
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1580000000,0.0260000000,1.0480000000,192.0000000000,4.0000000000,240.0000000000,0.0000000000,208.0000000000,32.0000000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,1756538689.9707448483,1.0000000000
1.0000000000,-187500.0223517445,-173148.9283620034,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,2747.9011115910,22698.5094187867,0.1580000000,0.0260000000,1.0480000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756538689.9838202000,0.0000000000
2.0000000000,-187500.0223517445,-173437.2211619879,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,2784.9603038979,22732.0370354697,0.1580000000,0.0260000000,1.0480000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756538689.9866960049,0.0000000000
3.0000000000,-187500.0223517445,-173615.5880827413,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,2772.7562514253,22714.7814887502,0.1580000000,0.0260000000,1.0480000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756538689.9907240868,0.0000000000
4.0000000000,-187500.0223517445,-173568.1576810071,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,2748.9739953248,22689.5687210046,0.1580000000,0.0260000000,1.0480000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756538689.9937994480,0.0000000000
5.0000000000,-187500.0223517445,-173316.9687768184,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,2731.8525590721,22679.1528080884,0.1580000000,0.0260000000,1.0480000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756538689.9967396259,0.0000000000
6.0000000000,-187500.0223517445,-173249.4888603078,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,2752.4832192043,22708.3218346026,0.1580000000,0.0260000000,1.0480000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756538690.0008769035,0.0000000000
7.0000000000,-187500.0223517445,-173590.3306115068,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,2788.6930452219,22732.9087535034,0.1600000000,0.0260000000,1.0480000000,192.0000000000,5.0000000000,0.0000000000,0.0000000000,208.0000000000,32.0000000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,1756538690.0047924519,0.0000000000
8.0000000000,-187500.0223517445,-173770.7091892611,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,2768.4647164899,22708.4559450693,0.1600000000,0.0260000000,1.0480000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756538690.0088031292,0.0000000000
9.0000000000,-187500.0223517445,-173630.4519928041,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,2742.4025824550,22683.7572674462,0.1600000000,0.0260000000,1.0480000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756538690.0121827126,0.0000000000
