channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16,channel_17,channel_18,channel_19,channel_20,channel_21,channel_22,channel_23
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1620000000,0.0180000000,1.0540000000,192.0000000000,5.0000000000,16.0000000000,0.0000000000,144.0000000000,32.0000000000,240.0000000000,0.0000000000,0.0000000000,0.0000000000,1756547886.3203597069,1.0000000000
1.0000000000,-187500.0223517445,-151562.7982095240,-167151.7094554555,-176564.8560601301,-187500.0223517445,-187500.0223517445,3781.1999060154,-2351.9846620541,0.1620000000,0.0180000000,1.0540000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756547886.3413732052,0.0000000000
2.0000000000,-187500.0223517445,-151146.8545969551,-166736.6822644093,-176170.7277501497,-187500.0223517445,-187500.0223517445,3688.1048903590,-2457.5072476276,0.1620000000,0.0180000000,1.0540000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756547886.3443763256,0.0000000000
3.0000000000,-187500.0223517445,-150825.2800494766,-166437.7276823196,-175885.7877118335,-187500.0223517445,-187500.0223517445,3699.7501492202,-2418.6599157643,0.1620000000,0.0180000000,1.0540000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756547886.3472247124,0.0000000000
4.0000000000,-187500.0223517445,-151216.3908739556,-166874.3690102540,-176271.0870827540,-187500.0223517445,-187500.0223517445,3800.8247376471,-2292.0149316806,0.1620000000,0.0180000000,1.0540000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756547886.3512570858,0.0000000000
5.0000000000,-187500.0223517445,-151559.8254275114,-167258.7296079075,-176613.3593455981,-187500.0223517445,-187500.0223517445,3790.1406037975,-2301.6261817963,0.1620000000,0.0180000000,1.0540000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756547886.3543803692,0.0000000000
6.0000000000,-187500.0223517445,-151522.9674009046,-167248.2242880135,-176591.6558017321,-187500.0223517445,-187500.0223517445,3759.8092865717,-2346.8884643183,0.1620000000,0.0180000000,1.0540000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756547886.3572599888,0.0000000000
7.0000000000,-187500.0223517445,-151169.1392861771,-166915.2727026072,-176275.2668589672,-187500.0223517445,-187500.0223517445,3694.0281026397,-2442.9786137317,0.1520000000,0.0160000000,1.0560000000,192.0000000000,4.0000000000,192.0000000000,0.0000000000,128.0000000000,33.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756547886.3612475395,0.0000000000
8.0000000000,-187500.0223517445,-150851.7221631673,-166625.9740741222,-175998.7310765661,-187500.0223517445,-187500.0223517445,3715.4634255723,-2393.2906858075,0.1520000000,0.0160000000,1.0560000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756547886.3646245003,0.0000000000
9.0000000000,-187500.0223517445,-151248.7785516713,-167066.4822538474,-176389.0595899892,-187500.0223517445,-187500.0223517445,3835.9616799309,-2237.8790066098,0.1520000000,0.0160000000,1.0560000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756547886.3673040867,0.0000000000
