channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,channel_9,channel_10,channel_11,channel_12,channel_13,channel_14,channel_15,channel_16,channel_17,channel_18,channel_19,channel_20,channel_21,channel_22,channel_23
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1500000000,0.0180000000,1.0560000000,192.0000000000,4.0000000000,176.0000000000,0.0000000000,144.0000000000,33.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756548035.3423566818,1.0000000000
1.0000000000,-187500.0223517445,-167414.0295283830,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,3058.9703391755,-2840.3479266581,0.1500000000,0.0180000000,1.0560000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756548035.3590381145,0.0000000000
2.0000000000,-187500.0223517445,-167808.6272249970,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,3159.1508578242,-2728.9915357818,0.1500000000,0.0180000000,1.0560000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756548035.3613052368,0.0000000000
3.0000000000,-187500.0223517445,-168094.8189610027,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,3130.8982528327,-2744.1013150336,0.1500000000,0.0180000000,1.0560000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756548035.3654904366,0.0000000000
4.0000000000,-187500.0223517445,-168107.4924001089,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,3118.7165521045,-2798.5278127823,0.1500000000,0.0180000000,1.0560000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756548035.3682868481,0.0000000000
5.0000000000,-187500.0223517445,-167693.1357613964,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,3055.6399292517,-2891.9134011165,0.1500000000,0.0180000000,1.0560000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756548035.3727555275,0.0000000000
6.0000000000,-187500.0223517445,-167480.3695059263,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,3078.9080952296,-2835.4305428780,0.1500000000,0.0180000000,1.0560000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756548035.3764092922,0.0000000000
7.0000000000,-187500.0223517445,-167887.0371445462,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,3165.9457881386,-2730.9137858050,0.1560000000,0.0200000000,1.0520000000,192.0000000000,4.0000000000,224.0000000000,0.0000000000,160.0000000000,32.0000000000,224.0000000000,0.0000000000,0.0000000000,0.0000000000,1756548035.3802857399,0.0000000000
8.0000000000,-187500.0223517445,-168193.9265959176,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,3144.0187268279,-2768.9341031234,0.1560000000,0.0200000000,1.0520000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756548035.3853793144,0.0000000000
9.0000000000,-187500.0223517445,-168180.1579213331,-187500.0223517445,-187500.0223517445,-187500.0223517445,-187500.0223517445,3095.9624762490,-2829.1049991971,0.1560000000,0.0200000000,1.0520000000,192.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1756548035.3883340359,0.0000000000
