subject,loop,start_time,end_time,EXG0_cca_dummy,EXG1_cca_dummy,label
sultan,1,0.0,0.996,0.45148578949444895,0.777752377738132,depan
sultan,1,1.0,1.996,0.6610103736735287,0.45200268374894403,depan
sultan,1,2.0,2.996,0.7345361372098572,0.6376424117594252,depan
sultan,1,3.0,3.996,0.934994782568321,0.9285643006844132,depan
sultan,1,4.0,4.996,0.581423521771125,0.038199272867598055,depan
sultan,1,5.0,5.996,0.9292360585769077,0.8364712023273015,depan
sultan,1,6.0,72.012,0.5273704699755553,0.46390655872498554,depan
sultan,2,72.016,73.012,0.9678871881116635,0.3997454609745221,depan
sultan,2,73.016,74.012,0.9275878938202543,0.9123557960336366,depan
sultan,2,74.016,75.012,0.3698523005801768,0.06625541944131252,depan
sultan,2,75.016,76.012,0.5121782984472847,0.1345960895042424,depan
sultan,2,76.016,77.012,0.4161619377202256,0.7224809308778788,depan
sultan,2,77.016,78.012,0.10230662691871573,0.022490467807899428,depan
sultan,2,78.016,144.008,0.8958016455425695,0.14552385728270745,depan
sultan,3,144.012,145.008,0.23708468772190727,0.7924680576871603,depan
sultan,3,145.012,146.008,0.08698227855909979,0.05941835676725182,depan
sultan,3,146.012,147.008,0.4115546955883378,0.19083100298521072,depan
sultan,3,147.012,148.008,0.7704537139419297,0.14941973292724775,depan
sultan,3,148.012,149.008,0.37424921031788416,0.18996204693305452,depan
sultan,3,149.012,150.008,0.9727615531357188,0.45035190709167483,depan
sultan,3,150.012,216.004,0.8974094450903438,0.6513828454570348,depan
sultan,4,216.008,217.004,0.060738944092217695,0.24292073832248506,depan
sultan,4,217.008,218.004,0.17946208310127554,0.32599710268240734,depan
sultan,4,218.008,219.004,0.6488385094058686,0.9203400568458673,depan
sultan,4,219.008,220.004,0.07441108748741088,0.35134279556412307,depan
sultan,4,220.008,221.004,0.9437278865963079,0.6098582500079818,depan
sultan,4,221.008,222.004,0.0618600296841193,0.3426155098783066,depan
sultan,4,222.008,288.0,0.021573125089538125,0.16153160006452927,depan
sultan,5,288.004,289.0,0.7335502212562975,0.7068733079376144,depan
sultan,5,289.004,290.0,0.29961636866659525,0.35983433988122737,depan
sultan,5,290.004,291.0,0.1721852826860193,0.5139471894542718,depan
sultan,5,291.004,292.0,0.10128175308769716,0.0464504161015018,depan
sultan,5,292.004,293.0,0.8586800974268685,0.28374304725222044,depan
sultan,5,293.004,294.0,0.29195895022267704,0.5963894484686245,depan
sultan,5,294.004,295.0,0.7866928426635651,0.4122059650465719,depan
